 sigx=1.1 ,sigy=0.3, theta=0 h_m=0.2, v_m=0.0, h_psnr=25.023052 
 sigx=1.1 ,sigy=0.4, theta=0 h_m=0.25, v_m=0.0, h_psnr=25.094517 
 sigx=1.1 ,sigy=0.5, theta=0 h_m=0.35, v_m=0.0, h_psnr=25.210960 
 sigx=1.1 ,sigy=0.6, theta=0 h_m=0.45, v_m=0.0, h_psnr=25.307249 
 sigx=1.1 ,sigy=0.7, theta=0 h_m=0.55, v_m=0.0, h_psnr=25.377688 
 sigx=1.1 ,sigy=0.8, theta=0 h_m=0.6, v_m=0.0, h_psnr=25.428650 
 sigx=1.1 ,sigy=0.9, theta=0 h_m=0.65, v_m=0.05, h_psnr=25.460308 
 sigx=1.1 ,sigy=1.0, theta=0 h_m=0.7, v_m=0.2, h_psnr=25.474999 
 sigx=1.1 ,sigy=1.1, theta=0 h_m=0.7, v_m=0.3, h_psnr=25.478502 
 sigx=1.1 ,sigy=1.2, theta=0 h_m=0.75, v_m=0.4, h_psnr=25.470066 
 sigx=1.1 ,sigy=1.3, theta=0 h_m=0.75, v_m=0.55, h_psnr=25.457811 
 sigx=1.1 ,sigy=1.4, theta=0 h_m=0.8, v_m=0.65, h_psnr=25.440585 
 sigx=1.1 ,sigy=1.5, theta=0 h_m=0.8, v_m=0.75, h_psnr=25.423903 
 sigx=1.1 ,sigy=1.6, theta=0 h_m=0.8, v_m=0.85, h_psnr=25.406418 
 sigx=1.1 ,sigy=1.7, theta=0 h_m=0.8, v_m=0.95, h_psnr=25.388942 
 sigx=1.1 ,sigy=1.8, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.369194 
 sigx=1.1 ,sigy=1.9, theta=0 h_m=0.8, v_m=1.0, h_psnr=25.328193 
 sigx=1.1 ,sigy=2.0, theta=0 h_m=0.85, v_m=1.0, h_psnr=25.296786 
 sigx=1.2 ,sigy=0.2, theta=0 h_m=0.4, v_m=0.0, h_psnr=25.012774 
 sigx=1.2 ,sigy=0.3, theta=0 h_m=0.4, v_m=0.0, h_psnr=25.020909 
 sigx=1.2 ,sigy=0.4, theta=0 h_m=0.45, v_m=0.0, h_psnr=25.092045 
 sigx=1.2 ,sigy=0.5, theta=0 h_m=0.55, v_m=0.0, h_psnr=25.214815 
 sigx=1.2 ,sigy=0.6, theta=0 h_m=0.6, v_m=0.0, h_psnr=25.317489 
